Front,Back,Tags
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Good / fine</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>I’m good.</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>منيح</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>mnī7</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>أنا منيح.</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>ana mnī7.</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>I’m good.</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Not good</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Today is not good.</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>مو منيح</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>mū mnī7</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>اليوم مو منيح.</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>il-yōm mū mnī7.</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Today is not good.</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>What’s up?</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>What’s up with you?</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>شو الأخبار؟</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>shū l-akhbār?</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>شو الأخبار معك؟</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>shū l-akhbār ma3ak/ma3ik?</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>What’s up with you?</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Thank you</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Thank you very much.</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>شكراً</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>shukran</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>شكراً كتير.</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>shukran ktīr.</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Thank you very much.</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>You’re welcome / excuse me</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>You’re welcome, no problem.</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>عفواً</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>3afwan</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>عفواً، ولا يهمّك.</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>3afwan, wala yhimmak.</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>You’re welcome, no problem.</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Please</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Please, can I get water?</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>لو سمحت</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>law sama7t</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>لو سمحت، ممكن مي؟</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>law sama7t, mumkin mayy?</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Please, can I get water?</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>No worries / it’s okay</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>No worries, it’s fine.</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>معلِش</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>ma3leesh</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>معلِش، عادي.</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>ma3leesh, 3ādī.</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>No worries, it’s fine.</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Sorry (m)</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Sorry, I’m late.</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>آسف</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>āsif</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>آسف، تأخرت.</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>āsif, ta2akhkhart.</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Sorry, I’m late.</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Sorry (f)</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Sorry, I made a mistake.</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>آسفة</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>āsfe</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>آسفة، غلطت.</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>āsfe, ghalaṭt.</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Sorry, I made a mistake.</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Thanks (colloquial)</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Thanks (lit. bless your hands).</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>يسلّموا</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>ysallmū</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>يسلّموا إيديك.</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>ysallmū 2īdēk.</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Thanks (lit. bless your hands).</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Go ahead / here you go (m)</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Here you go, this is the coffee.</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>تفضل</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>tfaDDal</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>تفضل، هاي القهوة.</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>tfaDDal, hāy il-2ahwe.</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Here you go, this is the coffee.</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Go ahead / here you go (f)</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Here you go, this is the water.</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>تفضلي</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>tfaDDale</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>تفضلي، هاي المي.</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>tfaDDale, hāy il-mayy.</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Here you go, this is the water.</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Cheers / enjoy (food)</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Enjoy your meal!</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>صحة</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>ṣa7a</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>صحة وهنا!</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>ṣa7a w hana!</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Enjoy your meal!</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Yes</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Yes, for sure.</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>نعم</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>na3am</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>نعم، أكيد.</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>na3am, أكيد (akīd).</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Yes, for sure.</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Yeah (yes)</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Yeah, okay.</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>إيه</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>ēh</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>إيه، تمام.</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>ēh, tamām.</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Yeah, okay.</div>
</div>",reverse-recall source::words-phrases
