
Front,Back
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    مساء الخير  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (masa’ el‑kheyr)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Good evening  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    مساء الخير للجميع.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    masa’ el‑kheyr lil‑jamee3.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Good evening to everyone.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    “Masa’” means evening; pair it with “kheyr” (goodness) like the morning greeting.  </div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    مساء النور  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (masa’ el‑noor)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Good evening (reply)  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    مساء النور يا سيدتي.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    masa’ el‑noor ya sayyidati.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Evening of light, ma’am.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Like “sabaH el‑noor,” answer with “light” to make the greeting shine.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    يعطيك العافية  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (yaaʿTeek el‑ʿaafi)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    May God give you health (well‑done)  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    يعطيك العافية على الشغل.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    yaaʿTeek el‑ʿaafi ʿala esh‑shughl.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Thanks for your hard work; may God bless your health.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Say this to someone working; imagine handing them a wellness “gift.”  </div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    الله يعافيك  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (Allah yaʿafeek)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    May God bless you too (reply)  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    الله يعافيك، شكرا!  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    Allah yaʿafeek, shukran!  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    May God bless you too, thanks!  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Respond back with this phrase when someone says “yaaʿTeek el‑ʿaafi.”  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    ألو؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (alo?)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Hello? (telephone)  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    ألو؟ مين معي على الخط؟  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    alo? meen maʿi ʿala el‑khaTT?  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Hello? Who’s on the line?  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    “Alo” sounds like “hello” – use it when answering the phone.  </div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    شكرا  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (shukran)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Thank you  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    شكرا على مساعدتك.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    shukran ʿala musaaʿadtak.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Thank you for your help.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    “Shukran” is used everywhere – think of saying “shucks, thanks!”  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    شكرا كتير  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (shukran kteer)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Thanks a lot  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    شكرا كتير على الهدية!  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    shukran kteer ʿala el‑hadiyyeh!  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Thank you so much for the gift!  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Add “kteer” (a lot) to intensify your gratitude.  </div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    ألف شكر  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (alf shukur)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Thanks a thousand!  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    ألف شكر على مساعدتك.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    alf shukur ʿala musaaʿadtak.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    A thousand thanks for your help.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Literally “one thousand thanks,” use this when you’re extra grateful.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    شكرا إلك  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (shukran ilak/ilek)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Thanks to you  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    شكرا إلك على كل شي.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    shukran ilak ʿala kul shi.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Thanks to you for everything.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Add “ilak/ilek” (“to you”) when you want to direct your gratitude to someone specific.  </div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    عفوا  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (ʿafwan)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    You’re welcome / Excuse me  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    عفوا، ما فهمت السؤال.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    ʿafwan, ma fhimt as‑su'al.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Excuse me, I didn’t understand the question.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    “ʿAfwan” doubles as “you’re welcome” and “sorry” depending on context – a handy all‑rounder.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    على راسي  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (ʿala raasi)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    My pleasure (literally “on my head”)  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    شكرا على المساعدة. – على راسي!  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    shukran ʿala el‑musaaʿadeh. – ʿala raasi!  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Thanks for the help. – My pleasure!  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Imagine balancing someone’s request on your head to show you’re honored to help.  </div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    لو سمحت  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (law samaHt / samaHti)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Please / Excuse me  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    لو سمحت، وين الحمام؟  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    law samaHt, weyn el‑hammam?  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Excuse me, where is the bathroom?  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Use this polite phrase whenever you need to get someone’s attention.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    من فضلك  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (min faDlak / faDlek)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Please / From your favor  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    كوب ميّ، من فضلك.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    koob mayy, min faDlak.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    A glass of water, please.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Literally “from your favor,” think of politely asking someone to grant you a favor.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    أنا آسف  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (ana aasif / aasife)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    I’m sorry  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    أنا آسف على التأخير.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    ana aasif ʿala at‑ta’kheer.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    I’m sorry for the delay.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Use “ana aasif” to apologize; think of saying “I’m as‑if” I could change it.  </div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    مع اذنك  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (maʿa iznak / iznek)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    With your permission  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    مع اذنك، بدي مرّ.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    maʿa iznak, biddi marr.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    With your permission, I’d like to pass.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Politely ask for someone’s permission before doing something – it softens requests.  </div></div>"
