Front,Back,Tags
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بيحكي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(byiḥki)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>he speaks</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>هو بيحكي بسرعة</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>huwwe byiḥki bisurʿa</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>He speaks quickly</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بدرس</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(bdrus)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I study</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا بدرس كل يوم</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana bdrus kill yōm</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I study every day</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بشتغل</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(bishtaghel)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I work</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا بشتغل اليوم</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana bishtaghel il-yōm</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I work today</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بسمع</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(basmaʿ)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I listen</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا بسمع موسيقى</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana basmaʿ mūsīʔa</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I listen to music</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بشوف</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(bshūf)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I see</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا بشوفك</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana bshūfak</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I see you</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بروح</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(brūḥ)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I go</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا بروح عالجامعة</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana brūḥ ʿal-jāmʿa</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I go to the university</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بجي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(biji)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I come</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا بجي بكّير</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana biji bakkīr</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I come early</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>باكل</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(bākol)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I eat</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا باكل هلق</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana bākol hallaʔ</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I’m eating now / I eat now</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ما بعرف</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ma baʿrif)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I don’t know</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ما بعرف هالكلمة</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ma baʿrif hal-kilme</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I don’t know this word</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ما بفهم</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ma bafham)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I don’t understand</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ما بفهم كتير</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ma bafham ktīr</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I don’t understand much</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ما بدي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ma baddi)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I don’t want</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ما بدي قهوة</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ma baddi ʔahwe</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I don’t want coffee</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ما في</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ma fī)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>there isn’t / there aren’t</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ما في وقت</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ma fī waʔt</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>There’s no time</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ما فيني</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ma fīnī)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I can’t</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ما فيني أجي اليوم</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ma fīnī ʔiji il-yōm</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I can’t come today</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>مش تعبان</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mish taʿbān)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>not tired</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا مش تعبان اليوم</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana mish taʿbān il-yōm</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I’m not tired today</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>مش جاهز</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mish jāhez)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>not ready</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا مش جاهز هلق</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana mish jāhez hallaʔ</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I’m not ready now</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>مش هون</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mish hōn)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>not here</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>هو مش هون</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>huwwe mish hōn</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>He’s not here</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ما رحت</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ma reḥet)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I didn’t go</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ما رحت مبارح</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ma reḥet mbāreḥ</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I didn’t go yesterday</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ما شفت</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ma shefet)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I didn’t see</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ما شفت الرسالة</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ma shefet ir-risāle</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I didn’t see the message</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>شو؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(shū?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>what?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>شو هادا؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>shū hāda?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>What is this?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>مين؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mīn?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>who?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>مين هاد؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>mīn hād?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>Who is this?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>وين؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(wēn?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>where?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>وين الحمّام؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>wēn il-ḥammām?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>Where is the bathroom?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>إمتى؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ēmta?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>when?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>إمتى بدك تجي؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ēmta baddak tiji?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>When do you want to come?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ليش؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(lēsh?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>why?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ليش متأخر؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>lēsh mtaʔakher?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>Why are you late?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>كيف؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(kīf?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>how?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>كيفك؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>kīfak?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>How are you?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>قديش؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(addēsh?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>how much / how many?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>قديش السعر؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>addēsh is-siʿer?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>How much is the price?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>من وين؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(min wēn?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>from where?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>إنت من وين؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>enta min wēn?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>Where are you from?</div>
</div>",levantine-arabic sentence-engine v2
